"SourceId","Slice","Category","Width","Height","X","Y","TypeRelativePath"
"source_01","slice_091.png","buttons","286","54","1050","555","by_type/buttons/source_01_091_286x54.png"
"source_01","slice_130.png","buttons","286","53","1050","618","by_type/buttons/source_01_130_286x53.png"
"source_01","slice_154.png","buttons","286","52","1050","679","by_type/buttons/source_01_154_286x52.png"
"source_01","slice_012.png","buttons","80","60","1083","143","by_type/buttons/source_01_012_80x60.png"
"source_01","slice_042.png","buttons","227","42","1085","432","by_type/buttons/source_01_042_227x42.png"
"source_01","slice_043.png","buttons","227","43","1085","478","by_type/buttons/source_01_043_227x43.png"
"source_01","slice_038.png","buttons","227","43","1086","244","by_type/buttons/source_01_038_227x43.png"
"source_01","slice_039.png","buttons","227","42","1086","292","by_type/buttons/source_01_039_227x42.png"
"source_01","slice_040.png","buttons","227","43","1086","339","by_type/buttons/source_01_040_227x43.png"
"source_01","slice_041.png","buttons","226","42","1086","386","by_type/buttons/source_01_041_226x42.png"
"source_01","slice_013.png","buttons","80","60","1173","143","by_type/buttons/source_01_013_80x60.png"
"source_01","slice_014.png","buttons","76","61","1263","143","by_type/buttons/source_01_014_76x61.png"
"source_01","slice_015.png","buttons","69","61","1349","143","by_type/buttons/source_01_015_69x61.png"
"source_01","slice_118.png","buttons","48","63","148","599","by_type/buttons/source_01_118_48x63.png"
"source_01","slice_119.png","buttons","48","63","207","599","by_type/buttons/source_01_119_48x63.png"
"source_01","slice_120.png","buttons","47","63","268","599","by_type/buttons/source_01_120_47x63.png"
"source_01","slice_116.png","buttons","46","63","31","599","by_type/buttons/source_01_116_46x63.png"
"source_01","slice_121.png","buttons","48","63","327","599","by_type/buttons/source_01_121_48x63.png"
"source_01","slice_122.png","buttons","48","63","386","599","by_type/buttons/source_01_122_48x63.png"
"source_01","slice_123.png","buttons","47","63","444","599","by_type/buttons/source_01_123_47x63.png"
"source_01","slice_124.png","buttons","47","63","503","599","by_type/buttons/source_01_124_47x63.png"
"source_01","slice_125.png","buttons","47","63","561","599","by_type/buttons/source_01_125_47x63.png"
"source_01","slice_126.png","buttons","48","63","618","599","by_type/buttons/source_01_126_48x63.png"
"source_01","slice_127.png","buttons","47","63","677","599","by_type/buttons/source_01_127_47x63.png"
"source_01","slice_128.png","buttons","48","63","760","599","by_type/buttons/source_01_128_48x63.png"
"source_01","slice_129.png","buttons","48","63","829","599","by_type/buttons/source_01_129_48x63.png"
"source_01","slice_117.png","buttons","48","63","88","599","by_type/buttons/source_01_117_48x63.png"
"source_01","slice_011.png","buttons","85","60","988","143","by_type/buttons/source_01_011_85x60.png"
"source_01","slice_026.png","cards","183","338","221","181","by_type/cards/source_01_026_183x338.png"
"source_01","slice_025.png","cards","183","338","24","180","by_type/cards/source_01_025_183x338.png"
"source_01","slice_187.png","cards","643","202","36","770","by_type/cards/source_01_187_643x202.png"
"source_01","slice_027.png","cards","181","337","416","181","by_type/cards/source_01_027_181x337.png"
"source_01","slice_028.png","cards","181","337","611","181","by_type/cards/source_01_028_181x337.png"
"source_01","slice_029.png","cards","179","337","805","181","by_type/cards/source_01_029_179x337.png"
"source_01","slice_001.png","components","897","135","31","17","by_type/components/source_01_001_897x135.png"
"source_01","slice_131.png","icons","21","13","239","676","by_type/icons/source_01_131_21x13.png"
"source_01","slice_132.png","icons","9","13","261","676","by_type/icons/source_01_132_9x13.png"
"source_01","slice_133.png","icons","10","13","275","676","by_type/icons/source_01_133_10x13.png"
"source_01","slice_136.png","icons","10","14","290","679","by_type/icons/source_01_136_10x14.png"
"source_01","slice_137.png","icons","19","11","300","678","by_type/icons/source_01_137_19x11.png"
"source_01","slice_139.png","icons","16","12","323","677","by_type/icons/source_01_139_16x12.png"
"source_01","slice_140.png","icons","9","13","345","676","by_type/icons/source_01_140_9x13.png"
"source_01","slice_141.png","icons","9","10","355","679","by_type/icons/source_01_141_9x10.png"
"source_01","slice_142.png","icons","3","13","365","676","by_type/icons/source_01_142_3x13.png"
"source_01","slice_143.png","icons","3","13","370","676","by_type/icons/source_01_143_3x13.png"
"source_01","slice_144.png","icons","9","13","374","676","by_type/icons/source_01_144_9x13.png"
"source_01","slice_145.png","icons","9","10","388","679","by_type/icons/source_01_145_9x10.png"
"source_01","slice_146.png","icons","9","10","398","679","by_type/icons/source_01_146_9x10.png"
"source_01","slice_147.png","icons","9","14","408","679","by_type/icons/source_01_147_9x14.png"
"source_01","slice_148.png","icons","10","14","421","679","by_type/icons/source_01_148_10x14.png"
"source_01","slice_152.png","icons","8","10","443","679","by_type/icons/source_01_152_8x10.png"
"source_01","slice_153.png","icons","9","10","451","679","by_type/icons/source_01_153_9x10.png"
"source_01","slice_186.png","screens","661","306","698","753","by_type/screens/source_01_186_661x306.png"
"source_02","slice_139.png","buttons","195","52","1190","991","by_type/buttons/source_02_139_195x52.png"
"source_02","slice_128.png","buttons","91","115","136","794","by_type/buttons/source_02_128_91x115.png"
"source_02","slice_137.png","buttons","37","39","254","840","by_type/buttons/source_02_137_37x39.png"
"source_02","slice_129.png","buttons","81","115","313","794","by_type/buttons/source_02_129_81x115.png"
"source_02","slice_136.png","buttons","52","89","418","806","by_type/buttons/source_02_136_52x89.png"
"source_02","slice_002.png","buttons","271","39","42","258","by_type/buttons/source_02_002_271x39.png"
"source_02","slice_036.png","buttons","295","40","42","491","by_type/buttons/source_02_036_295x40.png"
"source_02","slice_073.png","buttons","198","38","42","739","by_type/buttons/source_02_073_198x38.png"
