"SourceId","OriginalFile","Slice","Kept","Reason","Category","Width","Height","X","Y","InkPixels","ColorPixels","DarkPixels","Occupancy","SourceRelativePath","TypeRelativePath"
"source_01","ChatGPT Image Jun 29, 2026, 07_57_20 PM (2).png","slice_001.png","True","kept","components","897","135","31","17","115885","43546","87436","0.957","sources/source_01/slice_001.png","by_type/components/source_01_001_897x135.png"
"source_01","ChatGPT Image Jun 29, 2026, 07_57_20 PM (2).png","slice_002_discarded.png","False","plain_annotation_text","discarded_candidates","7","10","1132","121","36","0","10","0.5143","sources/source_01/slice_002_discarded.png","by_type/discarded_candidates/source_01_002_7x10.png"
"source_01","ChatGPT Image Jun 29, 2026, 07_57_20 PM (2).png","slice_003_discarded.png","False","plain_annotation_text","discarded_candidates","6","10","1143","121","52","0","14","0.8667","sources/source_01/slice_003_discarded.png","by_type/discarded_candidates/source_01_003_6x10.png"
"source_01","ChatGPT Image Jun 29, 2026, 07_57_20 PM (2).png","slice_004_discarded.png","False","plain_annotation_text","discarded_candidates","7","10","1150","121","57","0","18","0.8143","sources/source_01/slice_004_discarded.png","by_type/discarded_candidates/source_01_004_7x10.png"
"source_01","ChatGPT Image Jun 29, 2026, 07_57_20 PM (2).png","slice_005_discarded.png","False","plain_annotation_text","discarded_candidates","7","10","1161","121","41","0","11","0.5857","sources/source_01/slice_005_discarded.png","by_type/discarded_candidates/source_01_005_7x10.png"
"source_01","ChatGPT Image Jun 29, 2026, 07_57_20 PM (2).png","slice_006_discarded.png","False","plain_annotation_text","discarded_candidates","8","10","1169","121","56","0","19","0.7","sources/source_01/slice_006_discarded.png","by_type/discarded_candidates/source_01_006_8x10.png"
"source_01","ChatGPT Image Jun 29, 2026, 07_57_20 PM (2).png","slice_007_discarded.png","False","plain_annotation_text","discarded_candidates","3","10","1178","121","28","0","8","0.9333","sources/source_01/slice_007_discarded.png","by_type/discarded_candidates/source_01_007_3x10.png"
"source_01","ChatGPT Image Jun 29, 2026, 07_57_20 PM (2).png","slice_008_discarded.png","False","plain_annotation_text","discarded_candidates","14","11","1182","120","89","0","22","0.5779","sources/source_01/slice_008_discarded.png","by_type/discarded_candidates/source_01_008_14x11.png"
"source_01","ChatGPT Image Jun 29, 2026, 07_57_20 PM (2).png","slice_009_discarded.png","False","plain_annotation_text","discarded_candidates","10","12","1199","121","71","0","18","0.5917","sources/source_01/slice_009_discarded.png","by_type/discarded_candidates/source_01_009_10x12.png"
"source_01","ChatGPT Image Jun 29, 2026, 07_57_20 PM (2).png","slice_010_discarded.png","False","plain_annotation_text","discarded_candidates","36","11","1210","121","220","0","74","0.5556","sources/source_01/slice_010_discarded.png","by_type/discarded_candidates/source_01_010_36x11.png"
