CharID,CharName,VenueID,VenueName,CameraType,WaveCount,BossName,UnlockPts_Char,UnlockPts_Venue,Status
1,"Creator",1,"Cafe8Fifty Exterior",sidescroll,3,"Entry Line Disruptor",0,0,CHAR_FREE
1,"Creator",2,"Food Truck / Hibachi Street",sidescroll,3,"Street Heat Boss",0,0,CHAR_FREE
1,"Creator",3,"HITMANS VIP After Spot Interior",topdown,2,"Status Check Boss",0,500,CHAR_FREE
1,"Creator",4,"Kingdom Come Saloon",topdown,2,"Saloon Rival",0,1300,CHAR_FREE
1,"Creator",5,"Social Gaines Bar",topdown,2,"Pool Table Shark",0,2200,CHAR_FREE
1,"Creator",6,"Success Pool Bar",topdown,2,"Rooftop VIP Boss",0,3200,CHAR_FREE
1,"Creator",7,"Tally Row Exterior",sidescroll,3,"Street Route Boss",0,4300,CHAR_FREE
1,"Creator",8,"The Den",topdown,3,"Underground Challenge Boss",0,5500,CHAR_FREE
1,"Creator",9,"The Itus Pizza",topdown,2,"Kitchen Rush Boss",0,6800,CHAR_FREE
1,"Creator",10,"Sammys Stage",topdown,2,"Stage Showdown Boss",0,8200,CHAR_FREE
1,"Creator",11,"Public Hall",topdown,3,"Crowd Control Boss",0,9700,CHAR_FREE
1,"Creator",12,"13 Rave Club",topdown,3,"Laser/Rave Boss",0,11300,CHAR_FREE
1,"Creator",13,"Dukes & Dimes",topdown,2,"Hustle Table Boss",0,13000,CHAR_FREE
1,"Creator",14,"Quick Hit Fuel",sidescroll,3,"Late Night Stop Boss",0,14800,CHAR_FREE
1,"Creator",15,"Rooftop / Parking Connector",sidescroll,3,"Parking Lot Boss",0,16700,CHAR_FREE
1,"Creator",16,"Evo Fest",sidescroll,4,"Festival Final Boss",0,18700,CHAR_FREE
2,"DJ",1,"Cafe8Fifty Exterior",sidescroll,3,"Entry Line Disruptor",0,0,CHAR_FREE
2,"DJ",2,"Food Truck / Hibachi Street",sidescroll,3,"Street Heat Boss",0,0,CHAR_FREE
2,"DJ",3,"HITMANS VIP After Spot Interior",topdown,2,"Status Check Boss",0,500,CHAR_FREE
2,"DJ",4,"Kingdom Come Saloon",topdown,2,"Saloon Rival",0,1300,CHAR_FREE
2,"DJ",5,"Social Gaines Bar",topdown,2,"Pool Table Shark",0,2200,CHAR_FREE
2,"DJ",6,"Success Pool Bar",topdown,2,"Rooftop VIP Boss",0,3200,CHAR_FREE
2,"DJ",7,"Tally Row Exterior",sidescroll,3,"Street Route Boss",0,4300,CHAR_FREE
2,"DJ",8,"The Den",topdown,3,"Underground Challenge Boss",0,5500,CHAR_FREE
2,"DJ",9,"The Itus Pizza",topdown,2,"Kitchen Rush Boss",0,6800,CHAR_FREE
2,"DJ",10,"Sammys Stage",topdown,2,"Stage Showdown Boss",0,8200,CHAR_FREE
2,"DJ",11,"Public Hall",topdown,3,"Crowd Control Boss",0,9700,CHAR_FREE
2,"DJ",12,"13 Rave Club",topdown,3,"Laser/Rave Boss",0,11300,CHAR_FREE
2,"DJ",13,"Dukes & Dimes",topdown,2,"Hustle Table Boss",0,13000,CHAR_FREE
2,"DJ",14,"Quick Hit Fuel",sidescroll,3,"Late Night Stop Boss",0,14800,CHAR_FREE
2,"DJ",15,"Rooftop / Parking Connector",sidescroll,3,"Parking Lot Boss",0,16700,CHAR_FREE
2,"DJ",16,"Evo Fest",sidescroll,4,"Festival Final Boss",0,18700,CHAR_FREE
3,"FAMU Student A",1,"Cafe8Fifty Exterior",sidescroll,3,"Entry Line Disruptor",300,0,LOCKED_CHAR
